MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA,AUC
PCA,seismic-bumps,_train,RF,NONE,NONE,0.89,0.93,0.094,0.904,0.13,0.03,0.5124280200985319
PCA,seismic-bumps,_train,SGD,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
PCA,seismic-bumps,_train,SVM,NONE,NONE,0.8699999999999999,0.93,0.07,0.9,0.0,0.0,0.5
PCA,spambase,_train,ABC,NONE,NONE,0.93,0.93,0.918,0.93,0.924,0.8539999999999999,0.9243194847848696
PCA,spambase,_train,DTREE,NONE,NONE,0.9079999999999999,0.9079999999999999,0.9059999999999999,0.9079999999999999,0.9059999999999999,0.8240000000000001,0.9066218085448264
PCA,spambase,_train,GNB,NONE,NONE,0.8320000000000001,0.774,0.836,0.774,0.7879999999999999,0.618,0.8036191497549797
PCA,spambase,_train,KNN,NONE,NONE,0.8480000000000001,0.8399999999999999,0.85,0.8420000000000001,0.8420000000000001,0.7120000000000001,0.8441549577335792
PCA,spambase,_train,LRG,NONE,NONE,0.7020000000000001,0.6960000000000001,0.5860000000000001,0.6700000000000002,0.59,0.35,0.6422081252848372
PCA,spambase,_train,MLP,NONE,NONE,0.9260000000000002,0.9260000000000002,0.9280000000000002,0.9260000000000002,0.9260000000000002,0.858,0.9254758311346498
PCA,spambase,_train,QDA,NONE,NONE,0.836,0.78,0.8380000000000001,0.78,0.7959999999999999,0.6319999999999999,0.810185955115027
PCA,spambase,_train,RF,NONE,NONE,0.9479999999999998,0.9479999999999998,0.9360000000000002,0.9479999999999998,0.938,0.8859999999999999,0.941531380422652
PCA,spambase,_train,SGD,NONE,NONE,0.75,0.66,0.65,0.624,0.5760000000000001,0.338,0.6548474779059174
PCA,spambase,_train,SVM,NONE,NONE,0.37,0.61,0.39,0.4600000000000001,0.0,0.0,0.5
PCA,spectf-heart,_train,ABC,NONE,NONE,0.902,0.89,0.8860000000000001,0.892,0.8879999999999999,0.7879999999999999,0.886889576883385
PCA,spectf-heart,_train,DTREE,NONE,NONE,0.902,0.8880000000000001,0.892,0.892,0.89,0.792,0.8901919504643961
