,MODE,DATASET,PREPROC,ALGORITHM,ORDER,ALPHA,PRE,REC,SPE,F1,GEO,IBA
176,PCA,new-thyroid,_Borderline1,QDA,NONE,NONE,0.136,0.128,0.8619999999999999,0.132,0.134,0.122
177,PCA,new-thyroid,_Borderline1,RF,NONE,NONE,0.136,0.132,0.8619999999999999,0.134,0.136,0.128
178,PCA,new-thyroid,_Borderline1,SGD,NONE,NONE,0.122,0.18,0.8759999999999999,0.124,0.14400000000000002,0.11
179,PCA,new-thyroid,_Borderline1,SVM,NONE,NONE,0.17,0.20600000000000002,0.8479999999999999,0.114,0.11200000000000004,0.046000000000000006
180,PCA,penbased,_Borderline1,ABC,NONE,NONE,0.13,0.25,0.912,0.15,0.23199999999999998,0.17
181,PCA,penbased,_Borderline1,DTREE,NONE,NONE,0.716,0.7120000000000001,0.98,0.7100000000000001,0.7699999999999999,0.6920000000000001
182,PCA,penbased,_Borderline1,GNB,NONE,NONE,0.7020000000000001,0.6799999999999999,0.9740000000000001,0.6839999999999999,0.7440000000000001,0.664
183,PCA,penbased,_Borderline1,KNN,NONE,NONE,0.7780000000000001,0.774,0.99,0.7760000000000001,0.78,0.77
184,PCA,penbased,_Borderline1,LRG,NONE,NONE,0.7,0.682,0.978,0.682,0.7459999999999999,0.6639999999999999
185,PCA,penbased,_Borderline1,MLP,NONE,NONE,0.772,0.768,0.986,0.768,0.782,0.762
186,PCA,penbased,_Borderline1,QDA,NONE,NONE,0.01,0.1,0.9,0.02,0.0,0.0
187,PCA,penbased,_Borderline1,RF,NONE,NONE,0.7760000000000001,0.77,0.988,0.774,0.782,0.77
188,PCA,penbased,_Borderline1,SGD,NONE,NONE,0.7020000000000001,0.6579999999999999,0.974,0.6559999999999999,0.716,0.6379999999999999
189,PCA,penbased,_Borderline1,SVM,NONE,NONE,0.6940000000000001,0.662,0.978,0.6679999999999999,0.7219999999999999,0.644
190,PCA,thyroid,_Borderline1,ABC,NONE,NONE,0.912,0.8539999999999999,0.8400000000000001,0.882,0.7959999999999999,0.7040000000000001
191,PCA,thyroid,_Borderline1,DTREE,NONE,NONE,0.906,0.91,0.7180000000000001,0.908,0.7659999999999999,0.6479999999999999
192,PCA,thyroid,_Borderline1,GNB,NONE,NONE,0.8619999999999999,0.19,0.8380000000000001,0.302,0.374,0.14400000000000002
193,PCA,thyroid,_Borderline1,KNN,NONE,NONE,0.8720000000000001,0.8340000000000001,0.364,0.8539999999999999,0.484,0.276
194,PCA,thyroid,_Borderline1,LRG,NONE,NONE,0.8759999999999999,0.8,0.422,0.8340000000000001,0.524,0.31399999999999995
195,PCA,thyroid,_Borderline1,MLP,NONE,NONE,0.9,0.908,0.67,0.904,0.736,0.61
196,PCA,thyroid,_Borderline1,QDA,NONE,NONE,0.8699999999999999,0.8539999999999999,0.25,0.8539999999999999,0.20800000000000002,0.126
197,PCA,thyroid,_Borderline1,RF,NONE,NONE,0.904,0.912,0.716,0.91,0.7619999999999999,0.65
198,PCA,thyroid,_Borderline1,SGD,NONE,NONE,0.89,0.6799999999999999,0.6459999999999999,0.7540000000000001,0.584,0.386
199,PCA,thyroid,_Borderline1,SVM,NONE,NONE,0.8619999999999999,0.8800000000000001,0.18,0.868,0.27399999999999997,0.11
200,PCA,wine,_Borderline1,ABC,NONE,NONE,0.272,0.27,0.7959999999999999,0.268,0.28200000000000003,0.248
201,PCA,wine,_Borderline1,DTREE,NONE,NONE,0.28400000000000003,0.298,0.7859999999999999,0.28800000000000003,0.33,0.27
202,PCA,wine,_Borderline1,GNB,NONE,NONE,0.28800000000000003,0.30200000000000005,0.7879999999999999,0.294,0.34,0.272
203,PCA,wine,_Borderline1,KNN,NONE,NONE,0.242,0.23200000000000004,0.75,0.23,0.292,0.188
204,PCA,wine,_Borderline1,LRG,NONE,NONE,0.052000000000000005,0.057999999999999996,0.76,0.054000000000000006,0.09000000000000001,0.022
205,PCA,wine,_Borderline1,MLP,NONE,NONE,0.23199999999999998,0.212,0.7440000000000001,0.214,0.28400000000000003,0.16199999999999998
206,PCA,wine,_Borderline1,QDA,NONE,NONE,0.272,0.27,0.7959999999999999,0.27,0.28,0.266
207,PCA,wine,_Borderline1,RF,NONE,NONE,0.27,0.27,0.7859999999999999,0.27,0.28,0.264
208,PCA,wine,_Borderline1,SGD,NONE,NONE,0.136,0.276,0.6779999999999999,0.172,0.08399999999999999,0.04
209,PCA,wine,_Borderline1,SVM,NONE,NONE,0.0,0.0,1.0,0.0,0.0,0.0
210,PCA,contraceptive,_Borderline2,ABC,NONE,NONE,0.2,0.218,0.8119999999999999,0.204,0.28200000000000003,0.14800000000000002
211,PCA,contraceptive,_Borderline2,DTREE,NONE,NONE,0.194,0.21,0.8079999999999999,0.194,0.28200000000000003,0.136
212,PCA,contraceptive,_Borderline2,GNB,NONE,NONE,0.196,0.17800000000000002,0.8480000000000001,0.188,0.268,0.132
213,PCA,contraceptive,_Borderline2,KNN,NONE,NONE,0.196,0.204,0.8140000000000001,0.194,0.278,0.134
214,PCA,contraceptive,_Borderline2,LRG,NONE,NONE,0.20600000000000002,0.262,0.772,0.22000000000000008,0.298,0.156
215,PCA,contraceptive,_Borderline2,MLP,NONE,NONE,0.204,0.226,0.8160000000000001,0.21,0.29000000000000004,0.15800000000000006
216,PCA,contraceptive,_Borderline2,QDA,NONE,NONE,0.21800000000000005,0.16999999999999998,0.86,0.188,0.264,0.128
217,PCA,contraceptive,_Borderline2,RF,NONE,NONE,0.194,0.2240000000000001,0.7939999999999999,0.204,0.28600000000000003,0.14400000000000002
